question,answer,source,type,track
"Tell me about a recent data analysis project you worked on?  
What were the interesting or unexpected findings that you had from the project?
How did you end up productionizing it if at all or what was the end result?",,,Experience,General
"Suppose we offered 3 promotions at the Google Play Store.
How would we know if the promotions were successful or not?",,,Case Study,Quantitative
Describe different approaches to ranking photos at a given location and evaluating these ranking algorithms.,,,Case Study,Quantitative
"Suppose you want to calculate the probability that game 7 is reached.  How would you use Monte Carlo simulation to estimate this probability and using transition matrices?  You have two teams A/B with the following probabilities:

Pr(A wins at time t=1) = p1
Pr(A wins at time t=k | A wins at time t=k-1) = p11
Pr(A wins at time t=k | B wins at time t=k-1) = p12
Pr(B wins at time t=k | A wins at time t=k-1) = p21
Pr(B wins at time t=k | B wins at time t=k-1) = p22
",,,Programming,Quantitative
"People are submitting contradictory edits for submissions to different places for a maps app where some say it is open and others say it is closed.
How would you assess the reliability of the submissions?",,,Case Study,Quantitative
What are different types of models used for analyzing and evaluating the causal impacts of different product or marketing strategies?,,,Knowledge,Quantitative
What is the functional form for a maximum likelihood estimation of a logit regression model?,,,Knowledge,Quantitative
What are the assumptions required for linear regression?,"There are four major assumptions: 1. There is a linear relationship between the dependent variables and the regressors, meaning the model you are creating actually fits the data, 2. The errors or residuals of the data are normally distributed and independent from each other, 3. There is minimal multicollinearity between explanatory variables, and 4. Homoscedasticity. This means the variance around the regression line is the same for all values of the predictor variable.",springboard,,
What is the Central Limit Theorem and why is it important?,"Suppose that we are interested in estimating the average height among all people. Collecting data for every person in the world is impossible. While we can’t obtain a height measurement from everyone in the population, we can still sample some people. The question now becomes, what can we say about the average height of the entire population given a single sample. The Central Limit Theorem addresses this question exactly.",springboard,,
What is sampling? How many sampling methods do you know?,"Data sampling is a statistical analysis technique used to select, manipulate and analyze a representative subset of data points to identify patterns and trends in the larger data set being examined.”",springboard,,
What is the difference between type I vs type II error?,"A type I error occurs when the null hypothesis is true, but is rejected. A type II error occurs when the null hypothesis is false, but erroneously fails to be rejected.",springboard,,
"What is linear regression? What do the terms p-value, coefficient, and r-squared value mean? What is the significance of each of these components?","A linear regression is a good tool for quick predictive analysis: for example, the price of a house depends on a myriad of factors, such as its size or its location. In order to see the relationship between these variables, we need to build a linear regression, which predicts the line of best fit between them and can help conclude whether or not these two factors have a positive or negative relationship",springboard,,
What are the assumptions required for linear regression?,"There are four major assumptions: 1. There is a linear relationship between the dependent variables and the regressors, meaning the model you are creating actually fits the data, 2. The errors or residuals of the data are normally distributed and independent from each other, 3. There is minimal multicollinearity between explanatory variables, and 4. Homoscedasticity. This means the variance around the regression line is the same for all values of the predictor variable.",springboard,,
What is a statistical interaction?,"”Basically, an interaction is when the effect of one factor (input variable) on the dependent variable (output variable) differs among levels of another factor.”",springboard,,
What is selection bias?,"“Selection (or ‘sampling’) bias occurs in an ‘active,’ sense when the sample data that is gathered and prepared for modeling has characteristics that are not representative of the true, future population of cases the model will see. That is, active selection bias occurs when a subset of the data are systematically (i.e., non-randomly) excluded from analysis.”",springboard,,
What is an example of a data set with a non-Gaussian distribution?,"“The Gaussian distribution is part of the Exponential family of distributions, but there are a lot more of them, with the same sort of ease of use, in many cases, and if the person doing the machine learning has a solid grounding in statistics, they can be utilized where appropriate.” ",springboard,,
What is the Binomial Probability Formula?,“The binomial distribution consists of the probabilities of each of the possible numbers of successes on N trials for independent events that each have a probability of π (the Greek letter pi) of occurring.”,springboard,,
With which programming languages and environments are you most comfortable working?,,springboard,,
What are some pros and cons about your favorite statistical software?,,springboard,,
Tell me about an original algorithm you’ve created.,,springboard,,
Describe a data science project in which you worked with a substantial programming component. What did you learn from that experience?,,springboard,,
Do you contribute to any open-source projects?,,springboard,,
How would you clean a data set in (insert language here)?,,springboard,,
Tell me about the coding you did during your last project?,,springboard,,
What are two main components of the Hadoop framework?,"The Hadoop Distributed File System (HDFS), MapReduce, and YARN.",springboard,,
Explain how MapReduce works as simply as possible.,MapReduce is a programming model that enables distributed processing of large data sets on compute clusters of commodity hardware. Hadoop MapReduce first performs mapping which involves splitting a large file into pieces to make another set of data.,springboard,,
How would you sort a large list of numbers?,,springboard,,
Say you’re given a large data set. What would be your plan for dealing with outliers? How about missing values? How about transformations?,,springboard,,
What modules/libraries are you most familiar with? What do you like or dislike about them?,,springboard,,
"In Python, how is memory managed?",,springboard,,
"In Python, memory is managed in a private heap space. This means that all the objects and data structures will be located in a private heap. However, the programmer won’t be allowed to access this heap. Instead, the Python interpreter will handle it. At the same time, the core API will enable access to some Python tools for the programmer to start coding. The memory manager will allocate the heap space for the Python objects while the inbuilt garbage collector will recycle all the memory that’s not being used to boost available heap space. ",,springboard,,
